Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Manhattan,Chinatown,40.715618422314364,-73.99427936255984,9,Chinese Restaurant,Bubble Tea Shop,American Restaurant,Dim Sum Restaurant,Cocktail Bar,Vietnamese Restaurant,Noodle House,Salon / Barbershop,Bakery,Hotpot Restaurant
Manhattan,Washington Heights,40.85190252555309,-73.93690027985242,9,Café,Bakery,Mobile Phone Shop,Pizza Place,Italian Restaurant,Chinese Restaurant,Supermarket,Latin American Restaurant,Deli / Bodega,Mexican Restaurant
Manhattan,Inwood,40.867683964499186,-73.92121042203905,9,Café,Mexican Restaurant,Lounge,Pizza Place,American Restaurant,Bakery,Deli / Bodega,Park,Frozen Yogurt Shop,Chinese Restaurant
Manhattan,Hamilton Heights,40.82360428481197,-73.94968791883373,9,Mexican Restaurant,Deli / Bodega,Pizza Place,Coffee Shop,Café,Liquor Store,Indian Restaurant,Sandwich Place,Cocktail Bar,School
Manhattan,Manhattanville,40.81693442949784,-73.95738539351888,9,Deli / Bodega,Italian Restaurant,Seafood Restaurant,Mexican Restaurant,Chinese Restaurant,Japanese Curry Restaurant,Bike Trail,Lounge,Park,Coffee Shop
Manhattan,Central Harlem,40.81597606742418,-73.94321112603912,9,African Restaurant,French Restaurant,Cosmetics Shop,American Restaurant,Chinese Restaurant,Seafood Restaurant,Gym / Fitness Center,Dessert Shop,Gym,Bar
Manhattan,East Harlem,40.792249466630366,-73.94418223148531,9,Mexican Restaurant,Bakery,Deli / Bodega,Latin American Restaurant,Thai Restaurant,Chinese Restaurant,Grocery Store,Beer Bar,Taco Place,French Restaurant
Manhattan,Upper East Side,40.77563857330185,-73.96050763135005,9,Italian Restaurant,Exhibit,Art Gallery,Juice Bar,Coffee Shop,Bakery,Hotel,Gym / Fitness Center,French Restaurant,Boutique
Manhattan,Yorkville,40.77592984988492,-73.94711784471833,9,Italian Restaurant,Gym,Bar,Coffee Shop,Pizza Place,Sushi Restaurant,Deli / Bodega,Mexican Restaurant,Japanese Restaurant,Thai Restaurant
Manhattan,Lenox Hill,40.768112658287365,-73.95885968813765,9,Italian Restaurant,Coffee Shop,Sushi Restaurant,Gym / Fitness Center,Pizza Place,Sporting Goods Shop,Gym,Burger Joint,Steakhouse,Bakery
